timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732501775982,119,HTTP Request,200,OK,Thread Group 1-1,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,115,0,86
1732501776383,15,HTTP Request,200,OK,Thread Group 1-2,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,15,0,4
1732501776528,138,HTTP Request,200,OK,Thread Group 1-3,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,137,0,90
1732501776832,9,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,9,0,1
1732501777171,11,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,2
1732501777509,12,HTTP Request,200,OK,Thread Group 1-6,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1732501777849,14,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,1
1732501778185,16,HTTP Request,200,OK,Thread Group 1-8,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,16,0,1
1732501778523,11,HTTP Request,200,OK,Thread Group 1-9,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1732501778864,12,HTTP Request,200,OK,Thread Group 1-10,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,2
1732501779204,12,HTTP Request,200,OK,Thread Group 1-11,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,2
1732501779542,24,HTTP Request,200,OK,Thread Group 1-12,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,24,0,1
1732501779880,18,HTTP Request,200,OK,Thread Group 1-13,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,18,0,1
1732501780219,13,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1732501780559,11,HTTP Request,200,OK,Thread Group 1-15,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1732501780900,11,HTTP Request,200,OK,Thread Group 1-16,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,2
1732501781237,20,HTTP Request,200,OK,Thread Group 1-17,text,true,,521,129,1,1,http://172.23.66.32:3000/proceso_c,20,0,2
1732501781576,33,HTTP Request,200,OK,Thread Group 1-18,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,33,0,2
1732501781915,13,HTTP Request,200,OK,Thread Group 1-19,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732501782262,17,HTTP Request,200,OK,Thread Group 1-20,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,16,0,4
1732501782598,12,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,2
1732501782935,10,HTTP Request,200,OK,Thread Group 1-22,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732501783282,12,HTTP Request,200,OK,Thread Group 1-23,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,2
1732501783623,17,HTTP Request,200,OK,Thread Group 1-24,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,17,0,5
1732501783963,12,HTTP Request,200,OK,Thread Group 1-25,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,1
