timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732760479617,42,HTTP Request,200,OK,Thread Group 1-1,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,37,0,20
1732760480558,11,HTTP Request,200,OK,Thread Group 1-2,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,4
1732760481547,13,HTTP Request,200,OK,Thread Group 1-3,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,6
1732760482544,21,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,21,0,2
1732760483544,10,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732760484543,10,HTTP Request,200,OK,Thread Group 1-6,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732760485542,16,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,16,0,4
1732760486540,13,HTTP Request,200,OK,Thread Group 1-8,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732760487539,12,HTTP Request,200,OK,Thread Group 1-9,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,2
1732760488539,9,HTTP Request,200,OK,Thread Group 1-10,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,9,0,2
1732760489539,18,HTTP Request,200,OK,Thread Group 1-11,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,18,0,1
1732760490537,12,HTTP Request,200,OK,Thread Group 1-12,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,2
1732760491537,14,HTTP Request,200,OK,Thread Group 1-13,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,1
1732760492535,14,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,2
1732760493533,17,HTTP Request,200,OK,Thread Group 1-15,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,17,0,1
1732760494532,16,HTTP Request,200,OK,Thread Group 1-16,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,16,0,1
1732760495531,12,HTTP Request,200,OK,Thread Group 1-17,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,2
1732760496530,8,HTTP Request,200,OK,Thread Group 1-18,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,8,0,2
1732760497532,12,HTTP Request,200,OK,Thread Group 1-19,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,2
1732760498529,8,HTTP Request,200,OK,Thread Group 1-20,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,8,0,2
1732760499527,11,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,2
1732760500527,15,HTTP Request,200,OK,Thread Group 1-22,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,1
1732760501526,12,HTTP Request,200,OK,Thread Group 1-23,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,2
1732760502525,10,HTTP Request,200,OK,Thread Group 1-24,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,2
1732760503524,12,HTTP Request,200,OK,Thread Group 1-25,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,2
1732760504523,15,HTTP Request,200,OK,Thread Group 1-26,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,15,0,2
1732760505522,14,HTTP Request,200,OK,Thread Group 1-27,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,2
1732760506522,11,HTTP Request,200,OK,Thread Group 1-28,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1732760507520,10,HTTP Request,200,OK,Thread Group 1-29,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,2
1732760508520,11,HTTP Request,200,OK,Thread Group 1-30,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,2
1732760509519,9,HTTP Request,200,OK,Thread Group 1-31,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,9,0,2
1732760510518,13,HTTP Request,200,OK,Thread Group 1-32,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732760511518,8,HTTP Request,200,OK,Thread Group 1-33,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,7,0,2
1732760512518,18,HTTP Request,200,OK,Thread Group 1-34,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,18,0,2
1732760513516,18,HTTP Request,200,OK,Thread Group 1-35,text,true,,521,129,1,1,http://172.23.66.32:3000/proceso_c,18,0,2
1732760514516,13,HTTP Request,200,OK,Thread Group 1-36,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732760515515,10,HTTP Request,200,OK,Thread Group 1-37,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732760516514,14,HTTP Request,200,OK,Thread Group 1-38,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,2
1732760517512,13,HTTP Request,200,OK,Thread Group 1-39,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,2
1732760518512,13,HTTP Request,200,OK,Thread Group 1-40,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732760519510,11,HTTP Request,200,OK,Thread Group 1-41,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,2
1732760520511,17,HTTP Request,200,OK,Thread Group 1-42,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,17,0,2
1732760521511,18,HTTP Request,200,OK,Thread Group 1-43,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,18,0,1
1732760522505,11,HTTP Request,200,OK,Thread Group 1-44,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,2
1732760523505,13,HTTP Request,200,OK,Thread Group 1-45,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1732760524504,10,HTTP Request,200,OK,Thread Group 1-46,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732760525504,13,HTTP Request,200,OK,Thread Group 1-47,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732760526502,10,HTTP Request,200,OK,Thread Group 1-48,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732760527501,13,HTTP Request,200,OK,Thread Group 1-49,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732760528501,18,HTTP Request,200,OK,Thread Group 1-50,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,18,0,1
1732760529500,10,HTTP Request,200,OK,Thread Group 1-51,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,2
1732760530499,10,HTTP Request,200,OK,Thread Group 1-52,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732760531495,10,HTTP Request,200,OK,Thread Group 1-53,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732760532499,10,HTTP Request,200,OK,Thread Group 1-54,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732760533494,11,HTTP Request,200,OK,Thread Group 1-55,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1732760534494,7,HTTP Request,200,OK,Thread Group 1-56,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,7,0,1
1732760535493,15,HTTP Request,200,OK,Thread Group 1-57,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,15,0,2
1732760536493,13,HTTP Request,200,OK,Thread Group 1-58,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,1
1732760537493,11,HTTP Request,200,OK,Thread Group 1-59,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1732760538494,13,HTTP Request,200,OK,Thread Group 1-60,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1732760539492,12,HTTP Request,200,OK,Thread Group 1-61,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,1
1732760540492,13,HTTP Request,200,OK,Thread Group 1-62,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
