timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732761951307,59,HTTP Request,200,OK,Thread Group 1-1,text,true,,507,129,2,2,http://172.23.66.32:3000/proceso_c,55,0,35
1732761951322,44,HTTP Request,200,OK,Thread Group 1-2,text,true,,507,129,2,2,http://172.23.66.32:3000/proceso_c,40,0,20
1732761951407,11,HTTP Request,200,OK,Thread Group 1-3,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1732761951506,12,HTTP Request,200,OK,Thread Group 1-4,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,1
1732761951604,22,HTTP Request,200,OK,Thread Group 1-5,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,22,0,1
1732761951699,10,HTTP Request,200,OK,Thread Group 1-6,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,1
1732761951798,9,HTTP Request,200,OK,Thread Group 1-7,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,9,0,1
1732761951897,14,HTTP Request,200,OK,Thread Group 1-8,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,0
1732761951997,13,HTTP Request,200,OK,Thread Group 1-9,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1732761952097,14,HTTP Request,200,OK,Thread Group 1-10,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,1
1732761952198,14,HTTP Request,200,OK,Thread Group 1-11,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,4
1732761952298,17,HTTP Request,200,OK,Thread Group 1-12,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,17,0,2
1732761952396,14,HTTP Request,200,OK,Thread Group 1-13,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,2
1732761952496,10,HTTP Request,200,OK,Thread Group 1-14,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,2
1732761952596,16,HTTP Request,200,OK,Thread Group 1-15,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,15,0,2
1732761952696,13,HTTP Request,200,OK,Thread Group 1-16,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732761952796,14,HTTP Request,200,OK,Thread Group 1-17,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,1
1732761952940,11,HTTP Request,200,OK,Thread Group 1-18,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1732761953084,23,HTTP Request,200,OK,Thread Group 1-19,text,true,,507,129,2,2,http://172.23.66.32:3000/proceso_c,22,0,2
1732761953090,22,HTTP Request,200,OK,Thread Group 1-20,text,true,,521,129,1,1,http://172.23.66.32:3000/proceso_c,22,0,1
1732761953187,10,HTTP Request,200,OK,Thread Group 1-21,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,10,0,3
1732761953289,12,HTTP Request,200,OK,Thread Group 1-22,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,11,0,1
1732761953387,13,HTTP Request,200,OK,Thread Group 1-23,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1732761953485,15,HTTP Request,200,OK,Thread Group 1-24,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,15,0,2
1732761953586,13,HTTP Request,200,OK,Thread Group 1-25,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,3
1732761953686,13,HTTP Request,200,OK,Thread Group 1-26,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732761953785,13,HTTP Request,200,OK,Thread Group 1-27,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732761953886,12,HTTP Request,200,OK,Thread Group 1-28,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,1
1732761953984,14,HTTP Request,200,OK,Thread Group 1-29,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,2
1732761954085,13,HTTP Request,200,OK,Thread Group 1-30,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1732761954184,19,HTTP Request,200,OK,Thread Group 1-31,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,19,0,1
1732761954283,15,HTTP Request,200,OK,Thread Group 1-32,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,15,0,3
1732761954383,12,HTTP Request,200,OK,Thread Group 1-33,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,1
1732761954483,13,HTTP Request,200,OK,Thread Group 1-34,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732761954582,13,HTTP Request,200,OK,Thread Group 1-35,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,2
1732761954682,13,HTTP Request,200,OK,Thread Group 1-36,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1732761954783,12,HTTP Request,200,OK,Thread Group 1-37,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,12,0,1
1732761954882,14,HTTP Request,200,OK,Thread Group 1-38,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,14,0,2
1732761954981,15,HTTP Request,200,OK,Thread Group 1-39,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,15,0,2
1732761955082,26,HTTP Request,200,OK,Thread Group 1-40,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,26,0,15
1732761955181,13,HTTP Request,200,OK,Thread Group 1-41,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
1732761955281,13,HTTP Request,200,OK,Thread Group 1-42,text,true,,507,129,1,1,http://172.23.66.32:3000/proceso_c,13,0,1
